county_fips,county_name,established,origin text,etymology,fips_code,density,population,area,stateFIPS,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20
13021,Bibb County,1822,"portions of Houston, Jones, Monroe, and Twiggs counties","Dr. William Wyatt Bibb (1780–1820), first Governor of Alabama; U.S. Senator",21,625.85,"156,462","250 sq mi
(647 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,6,8,11,13,14,16,20,23,25,34,36,39
13023,Bleckley County,1912,Pulaski County,"Logan Edwin Bleckley (1827–1907), Georgia State Supreme Court Chief Justice",23,59.51,"12,913","217 sq mi
(562 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
13025,Brantley County,1920,"Charlton, Pierce, and Wayne counties","William Gordon Brantley (1860–1934), U.S. Congressman",25,41.86,"18,587","444 sq mi
(1,150 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13027,Brooks County,1858,Lowndes and Thomas counties,"Captain Preston S. Brooks (1819–57), a hero of the Mexican–American War; Congressman from South Carolina",27,31.18,"15,403","494 sq mi
(1,279 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,5,6
13029,Bryan County,1793,Chatham County,"Jonathan Bryan (1708–88), colonial settler; famous state representative",29,72.88,"32,214","442 sq mi
(1,145 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,7,7,7,7,9,11,15,15,17
13031,Bulloch County,1796,Bryan and Screven Counties,"Archibald Bulloch (1729–77), Revolutionary War soldier; Speaker of the Georgia House of Representatives; acting governor of Georgia (1775–77) and first governor of Georgia",31,106.43,"72,694","683 sq mi
(1,769 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,5,5,5
13033,Burke County,1777,Originally organized as St George Parish,"Edmund Burke (1729–97), British-American political philosopher and Member of Parliament who was sympathetic to the cause of US independence",33,27.83,"23,125","831 sq mi
(2,152 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,4,4,8,8,8,8,9,9
13035,Butts County,1825,Henry and Monroe counties,"Captain Samuel Butts (1777–1814), a hero of the Creek War",35,125.8,"23,524","187 sq mi
(484 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,5,5,6,8,8,9,9,10,12
13037,Calhoun County,1854,Early and Baker counties,"John C. Calhoun (1782–1850), U.S. Congressman; U.S. Senator; Vice President of the United States from South Carolina",37,23.23,"6,504","280 sq mi
(725 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,6,9,10,10,11,15,17
13039,Camden County,1777,St Mary and St Thomas Parishes,"Charles Pratt, 1st Earl Camden (1714–94), Lord Chancellor of Great Britain who was sympathetic to the cause of the Revolution",39,81.59,"51,402","630 sq mi
(1,632 km2)",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,4,4,5,6,6,6,9
